Mineral Name,Country of Type Locality
Alum-(Na),?
Alunogen,?
Arsenopyrite,?
Asbolane,?
Magnetite,?
Augite,?
Baryte,?
Bismuthinite,?
Bornite,?
Chalcocite,?
Chalcopyrite,?
Lazurite,Afghanistan / Russia
Khanneshite,Afghanistan
Afghanite,Afghanistan
Grossite,Algeria (meteorite) / Israel
Addibischoffite,Algeria (meteorite)
Hydrohalloysite,Algeria / Poland
Dussertite,Algeria
Ferroh?gbomite-2N2S,Algeria
Kulkeite,Algeria
Nadorite,Algeria
Senarmontite,Algeria
Kushiroite,Antarctica (meteorite)
Dissakisite-(Ce),Antarctica
Earlandite,Antarctica
Ernstburkeite,Antarctica
Ferri-kaersutite,Antarctica
Gottardiite,Antarctica
Antarcticite,Antarctica
Khmaralite,Antarctica
Magnesioh?gbomite-2N4S,Antarctica
Mutinaite,Antarctica
Spheniscidite,Antarctica
Tassieite,Antarctica
Terranovaite,Antarctica
Wassonite,Antarctica
Weddellite,Antarctica
Boralsilite,Antarctica
Chopinite,Antarctica
Kuratite,Argentina (meteorite)
Cobaltomenite,Argentina
Coiraite,Argentina
Achalaite,Argentina
Cranswickite,Argentina
Dellagiustaite,Argentina
Descloizite,Argentina
Achávalite,Argentina
Ezcurrite,Argentina
Ameghinite,Argentina
Famatinite,Argentina
Ferro-ferri-katophorite,Argentina
Ferrotitanowodginite,Argentina
Galliskiite,Argentina
Gayite,Argentina
Angelellite,Argentina
Huemulite,Argentina
Ishiharaite,Argentina
Jagüéite,Argentina
Aristarainite,Argentina
Klockmannite,Argentina
Liraite,Argentina
Lislkirchnerite,Argentina
Llantenesite,Argentina
Matyhite,Argentina
Mendozite,Argentina
Molybdomenite,Argentina
Omariniite,Argentina
Pirquitasite,Argentina
Preisingerite,Argentina
Putzite,Argentina
Ramaccioniite,Argentina
Rivadavite,Argentina
Sanjuanite,Argentina
Sanmartinite,Argentina
Bederite,Argentina
Sarmientite,Argentina
Schmiederite,Argentina
Benyacarite,Argentina
Suredaite,Argentina
Surite,Argentina
Teruggite,Argentina
Beusite,Argentina
Tsangpoite,Argentina
Umangite,Argentina
Zavalíaite,Argentina
Zhanghuifenite,Argentina
?ngelaite,Argentina
Brackebuschite,Argentina
Brodtkorbite,Argentina
Catalanoite,Argentina
Catamarcaite,Argentina
Alfredstelznerite,Argentina
Chalcomenite,Argentina
Chekhovichite,Armenia / Kazakhstan
Smirnite,Armenia
Volynskite,Armenia
Calcurmolite,Armenia
Edscottite,Australia (Meteorite)
Warkite,Australia (meteorite) / Italy (meteorite)
Machiite,Australia (meteorite)
Murchisite,Australia (meteorite)
Suessite,Australia (meteorite)
Akimotoite,Australia (meteorite)
Bridgmanite,Australia (meteorite)
Tu?ekite,Australia /South Africa
Clinobisvanite,Australia
Cloncurryite,Australia
Cobaltaustinite,Australia
Costibite,Australia
Danielsite,Australia
Davidite-(La),Australia
Decrespignyite-(Y),Australia
Dittmarite,Australia
Domerockite,Australia
Dundasite,Australia
Ecandrewsite,Australia
Edwardsite,Australia
Elliottite,Australia
Amamoorite,Australia
Ernienickelite,Australia
Ferro-holmquistite,Australia
Ferrorhodonite,Australia
Fluornatrocoulsellite,Australia
Formanite-(Y),Australia
Francisite,Australia
Gartrellite,Australia
Gatehouseite,Australia
Angastonite,Australia
Georgeite,Australia
Gillardite,Australia
Glaukosphaerite,Australia
Hannayite,Australia
Heazlewoodite,Australia
Hellyerite,Australia
Hillite,Australia
Hodgesmithite,Australia
Hoganite,Australia
Holtite,Australia
Honeaite,Australia
Hydrohonessite,Australia
Hydrokenoelsmoreite,Australia
Archerite,Australia
Hylbrownite,Australia
Jahnsite-(CaFeMg),Australia
Jahnsite-(NaMnMn),Australia
Jeppeite,Australia
Johntomaite,Australia
Junoite,Australia
Kalgoorlieite,Australia
Kambaldaite,Australia
Kapundaite,Australia
Kimrobinsonite,Australia
Kingite,Australia
Kingsgateite,Australia
Kintoreite,Australia
Kleemanite,Australia
Kolitschite,Australia
Kunatite,Australia
Arsenoflorencite-(Ce),Australia
Lakebogaite,Australia
Leucophosphite,Australia
Liversidgeite,Australia
Loveringite,Australia
Lucasite-(Ce),Australia
Magnesiobermanite,Australia
Magnesiotaaffeite-6N'3S,Australia
Ashburtonite,Australia
Majorite,Australia
Maldonite,Australia
Mangano-mangani-ungarettiite,Australia
Manganochromite,Australia
Marshite,Australia
Mawbyite,Australia
Mawsonite,Australia
Mengeite,Australia
Middlebackite,Australia
Miersite,Australia
Minyulite,Australia
Moolooite,Australia
Mountkeithite,Australia
Mundrabillaite,Australia
Natropharmacosiderite,Australia
Natrowalentaite,Australia
Newberyite,Australia
Nickelbl?dite,Australia
Noelbensonite,Australia
Baileychlore,Australia
Norrishite,Australia
Nullaginite,Australia
Nyholmite,Australia
Otwayite,Australia
Oxo-mangani-leakeite,Australia
Oxy-foitite,Australia
Bamfordite,Australia
Paceite,Australia
Paradocrasite,Australia
Paraotwayite,Australia
Paratacamite-(Ni),Australia
Paratooite-(La),Australia
Parwanite,Australia
Paulscherrerite,Australia
Pecoraite,Australia
Peisleyite,Australia
Pekoite,Australia
Penriceite,Australia
Bariosincosite,Australia
Petterdite,Australia
Philipsbornite,Australia
Barlowite,Australia
Pittongite,Australia
Plimerite,Australia
Plumboperloffite,Australia
Priderite,Australia
Proudite,Australia
Pseudorutile,Australia
Putnisite,Australia
Puttapaite,Australia
Raspite,Australia
Reaphookhillite,Australia
Baumoite,Australia
Reevesite,Australia
Ringwoodite,Australia
Roaldite,Australia
Roxbyite,Australia
Saddlebackite,Australia
Schertelite,Australia
Segnitite,Australia
Selwynite,Australia
Shandite,Australia
Sieleckiite,Australia
Siidraite,Australia
Silvialite,Australia
Simpsonite,Australia
Spriggite,Australia
Springcreekite,Australia
Stibiotantalite,Australia
Stichtite,Australia
Stillwellite-(Ce),Australia
Bernalite,Australia
Strontioperloffite,Australia
Sulvanite,Australia
Tanteuxenite-(Y),Australia
Tetraferriannite,Australia
Betpakdalite-FeFe,Australia
Thorasphite,Australia
Tivanite,Australia
Tomichite,Australia
Tomsquarryite,Australia
Ulrichite,Australia
Urea,Australia
Uricite,Australia
Bimbowrieite,Australia
Vanderheydenite,Australia
Biphosphammite,Australia
Airdite,Australia
Birchite,Australia
Wadeite,Australia
Waterhouseite,Australia
Whiteite-(MnMnMg),Australia
Whiterockite,Australia
Widgiemoolthalite,Australia
Wilkinsonite,Australia
Willyamite,Australia
Wodginite,Australia
Woodallite,Australia
Wycheproofite,Australia
Yancowinnaite,Australia
Bleasdaleite,Australia
Boromullite,Australia
Aldermanite,Australia
Aldridgeite,Australia
Cardite,Australia
Carrboydite,Australia
Cassidyite,Australia
Alicewilsonite-(YLa),Australia
Fluorapatite,Austria / Germany / Spain / Switzerland
Chlorapatite,Austria / Germany / Spain / Switzerland
Aluminoceladonite,Austria / Poland
Makovickyite,Austria / Romania
Clinozoisite,Austria
Cupromakopavonite,Austria
Cupromakovickyite,Austria
D'ansite,Austria
Dantopaite,Austria
Alumino-oxy-rossmanite,Austria
Donharrisite,Austria
Eclarite,Austria
Emilite,Austria
Erzwiesite,Austria
Felbertalite,Austria
Amstallite,Austria
Fleisstalite,Austria
Friedrichite,Austria
Galgenbergite-(Ce),Austria
Anhydrite,Austria
Gersdorffite,Austria
Ankerite,Austria
G?rgeyite,Austria
Admontite,Austria
Hydrohalite,Austria
Hydrozincite,Austria
Ilsemannite,Austria
Innsbruckite,Austria
Kahlerite,Austria
Karlite,Austria
Kl?chite,Austria
Kup?íkite,Austria
Kyanite,Austria
Lazulite,Austria
Leogangite,Austria
L?llingite,Austria
L?weite,Austria
Aschamalmite,Austria
Mallestigite,Austria
Margarite,Austria
Meixnerite,Austria
Orthogersdorffite,Austria
Paarite,Austria
Paragersdorffite,Austria
Phosphorr?sslerite,Austria
Barroisite,Austria
Pretulite,Austria
Salzburgite,Austria
Trattnerite,Austria
Tyrolite,Austria
Wagnerite,Austria
Weinebeneite,Austria
Wulfenite,Austria
Bl?dite,Austria
Zoisite,Austria
Nierite,Azerbaijan (meteorite)
Niningerite,Azerbaijan (meteorite)
Rudashevskyite,Azerbaijan (meteorite)
Zolenskyite,Azerbaijan (meteorite)
Potassic-chloro-hastingsite,Azerbaijan
Roedderite,Azerbaijan
Calciocopiapite,Azerbaijan
Byelorussite-(Ce),Belarus
Davreuxite,Belgium
Delvauxite,Belgium
Destinezite,Belgium
Drugmanite,Belgium
Ferristrunzite,Belgium
Fraipontite,Belgium
Graulichite-(Ce),Belgium
Halloysite,Belgium
Hopeite,Belgium
Ardennite-(As),Belgium
Koninckite,Belgium
Ottrélite,Belgium
Pumpellyite-(Al),Belgium
Richellite,Belgium
Stavelotite-(La),Belgium
Vantasselite,Belgium
Viaeneite,Belgium
Willemite,Belgium
Calclacite,Belgium
Hocartite,Bolivia / France
Clino-oscarkempffite,Bolivia
Colquiriite,Bolivia
Cylindrite,Bolivia
Daubréeite,Bolivia
Eldragónite,Bolivia
Favreauite,Bolivia
Ferrivauxite,Bolivia
Franckeite,Bolivia
Franksousaite,Bolivia
Grundmannite,Bolivia
Hansblockite,Bolivia
Herzenbergite,Bolivia
Aramayoite,Bolivia
Hydrotungstite,Bolivia
Jeanbandyite,Bolivia
Lammerite,Bolivia
Lauraniite,Bolivia
Mandarinoite,Bolivia
Metavauxite,Bolivia
Nickeltyrrellite,Bolivia
Nikischerite,Bolivia
Olsacherite,Bolivia
Oscarkempffite,Bolivia
Ottemannite,Bolivia
Paravauxite,Bolivia
Pavonite,Bolivia
Penroseite,Bolivia
Petermegawite,Bolivia
Barringerite,Bolivia
Povondraite,Bolivia
Quatrandorite,Bolivia
Quijarroite,Bolivia
Ramdohrite,Bolivia
Rhodostannite,Bolivia
Rooseveltite,Bolivia
Sigloite,Bolivia
Aheylite,Bolivia
Bernardevansite,Bolivia
Berndtite,Bolivia
Ahlfeldite,Bolivia
Teallite,Bolivia
Tennantite-(Cd),Bolivia
Vauxite,Bolivia
Bismite,Bolivia
Wurtzite,Bolivia
Braithwaiteite,Bolivia
Canfieldite,Bolivia
Cerromojonite,Bolivia
Alfredopetrovite,Bolivia
Tuzlaite,Bosnia and Herzegovina
Cubo-ice,Botswana
Davemaoite,Botswana
Gwihabaite,Botswana
Kudryavtsevaite,Botswana
Correianevesite,Brasil
Jahnsite-(NaMnMg),Brazil / Australia
Chrysoberyl,Brazil
Almeidaite,Brazil
Coutinhoite,Brazil
Césarferreiraite,Brazil
Deltanitrogen,Brazil
Derbylite,Brazil
Dukeite,Brazil
Euclase,Brazil
Faheyite,Brazil
Ferroqingheiite,Brazil
Florencite-(Ce),Brazil
Fluor-elbaite,Brazil
Fluorcalciomicrolite,Brazil
Fluorlamprophyllite,Brazil
Fluornatromicrolite,Brazil
Frondelite,Brazil
Gorceixite,Brazil
Goyazite,Brazil
Guimar?esite,Brazil
Hydrokenomicrolite,Brazil
Hydroxycalciomicrolite,Brazil
Hydroxycalcioroméite,Brazil
Hydroxykenopyrochlore,Brazil
Isomertieite,Brazil
Jacutingaite,Brazil
Jahnsite-(MnMnMg),Brazil
Jeffbenite,Brazil
Joséite-A,Brazil
Kalungaite,Brazil
Arrojadite-(KFe),Brazil
Arrojadite-(PbFe),Brazil
Lanthanite-(Nd),Brazil
Arsenopalladinite,Brazil
Lefontite,Brazil
Lindbergite,Brazil
Lipscombite,Brazil
Arupite,Brazil
Manganoeudialyte,Brazil
Matioliite,Brazil
Atencioite,Brazil
Atheneite,Brazil
Melcherite,Brazil
Menezesite,Brazil
Minasgeraisite-(Y),Brazil
Moraesite,Brazil
Bahianite,Brazil
Oxycalciomicrolite,Brazil
Oxykinoshitalite,Brazil
Palladinite,Brazil
Palladium,Brazil
Palladseite,Brazil
Barbosalite,Brazil
Parisite-(La),Brazil
Pauloabibite,Brazil
Ruifrancoite,Brazil
Scorzalite,Brazil
Senaite,Brazil
Serrabrancaite,Brazil
Souzalite,Brazil
Tantalaeschynite-(Y),Brazil
Tavorite,Brazil
Tripuhyite,Brazil
Waimirite-(Y),Brazil
Whiteite-(CaFeMg),Brazil
Whiteite-(MnFeMg),Brazil
Wilancookite,Brazil
Yanomamite,Brazil
Zanazziite,Brazil
Zirkelite,Brazil
Bortolanite,Brazil
Brand?oite,Brazil
Brazilianite,Brazil
Breyite,Brazil
Brumadoite,Brazil
Carlosbarbosaite,Brazil
Dachiardite-K,Bulgaria
Hemusite,Bulgaria
Ardaite,Bulgaria
Kostovite,Bulgaria
Manganilvaite,Bulgaria
Balkanite,Bulgaria
Potassic-magnesio-arfvedsonite,Bulgaria
Strashimirite,Bulgaria
Vasilite,Bulgaria
Hydroxykenoelsmoreite,Burundi
Mantienneite,Cameroon
Rémondite-(Ce),Cameroon
Keilite,Canada (meteorite)
Wadsleyite,Canada (meteorite)
Dadsonite,Canada / Germany / USA
Petrukite,Canada / Japan
Titantaramellite,Canada / Mexico / USA
Arisite-(Ce),Canada / Namibia
Kukharenkoite-(Ce),Canada / Russia
Allargentum,Canada
Clinosafflorite,Canada
Coldwellite,Canada
Collinsite,Canada
Crerarite,Canada
Criddleite,Canada
Cupropolybasite,Canada
Cuprospinel,Canada
Dawsonite,Canada
Dondoellite,Canada
Donnayite-(Y),Canada
Doyleite,Canada
Dresserite,Canada
Alumovesuvianite,Canada
Ercitite,Canada
Esdanaite-(Ce),Canada
Farringtonite,Canada
Ferri-fluoro-katophorite,Canada
Ferrierite-Mg,Canada
Ferrisymplesite,Canada
Ferro-ferri-nyb?ite,Canada
Ferrokentbrooksite,Canada
Fluorbritholite-(Ce),Canada
Franconite,Canada
Frohbergite,Canada
Froodite,Canada
Gagarinite-(Ce),Canada
Gaidonnayite,Canada
Garronite-Na,Canada
Garyansellite,Canada
Adamsite-(Y),Canada
Gaspéite,Canada
Gaultite,Canada
Gerenite-(Y),Canada
Gittinsite,Canada
Gjerdingenite-Na,Canada
Gormanite,Canada
Greenwoodite,Canada
Griceite,Canada
Groatite,Canada
Guettardite,Canada
Gunningite,Canada
Haineaultite,Canada
Harrisonite,Canada
Hastingsite,Canada
Hawleyite,Canada
Heamanite-(Ce),Canada
Hedleyite,Canada
Hemloite,Canada
Hexahydrite,Canada
Aplowite,Canada
Hilairite,Canada
Hochelagaite,Canada
Hogarthite,Canada
Horváthite-(Y),Canada
Howlite,Canada
Hydrodresserite,Canada
Hydroromarchite,Canada
Hydroterskite,Canada
Iridium,Canada
Isoferroplatinum,Canada
Itsiite,Canada
Izoklakeite,Canada
Jagowerite,Canada
Jeffreyite,Canada
Argentotetrahedrite-(Fe),Canada
Johnsenite-(Ce),Canada
Jolliffeite,Canada
Joséite-B,Canada
Khomyakovite,Canada
Kiddcreekite,Canada
Arrojadite-(KNa),Canada
Kodamaite,Canada
Kulanite,Canada
Lalondeite,Canada
Langisite,Canada
Arsenohauchecornite,Canada
Lapieite,Canada
Larosite,Canada
Latrappite,Canada
Launayite,Canada
Laurentianite,Canada
Laverovite,Canada
Lecoqite-(Y),Canada
Lemoynite,Canada
Abenakiite-(Ce),Canada
Lopatkaite,Canada
Lukechangite-(Ce),Canada
Madocite,Canada
Magnesio-hastingsite,Canada
Magnesio-lucchesiite,Canada
Magnesioh?gbomite-6N12S,Canada
Manganokhomyakovite,Canada
Manganokukisvumite,Canada
Manitobaite,Canada
Mannardite,Canada
Marathonite,Canada
Mari?ite,Canada
Martinite,Canada
Mattagamite,Canada
Athabascaite,Canada
Mcauslanite,Canada
Mcgillite,Canada
Mckinstryite,Canada
Meierite,Canada
Melansonite,Canada
Menzerite-(Y),Canada
Meridianiite,Canada
Michenerite,Canada
Aurostibite,Canada
Monazite-(Sm),Canada
Montbrayite,Canada
Monteregianite-(Y),Canada
Montroyalite,Canada
Moorhouseite,Canada
Mordenite,Canada
Moydite-(Y),Canada
Muskoxite,Canada
Nahpoite,Canada
Naldrettite,Canada
Nalipoite,Canada
Natrolemoynite,Canada
Neyite,Canada
Nickelbischofite,Canada
Nioboaeschynite-(Y),Canada
Niobokupletskite,Canada
Niobophyllite,Canada
Niocalite,Canada
Nisbite,Canada
Nisnite,Canada
Niveolanite,Canada
Nixonite,Canada
Nolanite,Canada
Nolzeite,Canada
Bainbridgeite-(YCe),Canada
Normandite,Canada
Nuffieldite,Canada
Oberthürite,Canada
Oneillite,Canada
Osmium,Canada
Owensite,Canada
Palladogermanide,Canada
Paracostibite,Canada
Paranatrolite,Canada
Pararammelsbergite,Canada
Pararealgar,Canada
Peatite-(Y),Canada
Pellyite,Canada
Penikisite,Canada
Penobsquisite,Canada
Perraultite,Canada
Petarasite,Canada
Petersenite-(Ce),Canada
Bari?ite,Canada
Pieczkaite,Canada
Platinum,Canada
Playfairite,Canada
Barrydawsonite-(Y),Canada
Poitevinite,Canada
Potassic-magnesio-fluoro-arfvedsonite,Canada
Poudretteite,Canada
Pringleite,Canada
Quintinite,Canada
Ramikite-(Y),Canada
Rapidcreekite,Canada
Reederite-(Y),Canada
Bavsiite,Canada
Rogermitchellite,Canada
Romarchite,Canada
Rouvilleite,Canada
Ruitenbergite,Canada
Agrellite,Canada
Sabinaite,Canada
Satterlyite,Canada
Sheldrickite,Canada
Silinaite,Canada
Skippenite,Canada
Sorbyite,Canada
Spencerite,Canada
Spertiniite,Canada
Spionkopite,Canada
Steacyite,Canada
Steedeite,Canada
Sterryite,Canada
Stibivanite,Canada
Strontiodresserite,Canada
Sudburyite,Canada
Tancoite,Canada
Tellurantimony,Canada
Tellurohauchecornite,Canada
Temagamite,Canada
Thomasclarkite-(Y),Canada
Thornasite,Canada
Thunderbayite,Canada
Tintinaite,Canada
Titanowodginite,Canada
Beusite-(Ca),Canada
Torryweiserite,Canada
Trembathite,Canada
Biagioniite,Canada
Tulameenite,Canada
Twinnite,Canada
Tyrrellite,Canada
Ungavaite,Canada
Varennesite,Canada
Vaughanite,Canada
Veblenite,Canada
Veenite,Canada
Violarite,Canada
Voggite,Canada
Wakefieldite-(Y),Canada
Walkerite,Canada
Watkinsonite,Canada
Weloganite,Canada
Wicksite,Canada
Wopmayite,Canada
Xenotime-(Yb),Canada
Yarrowite,Canada
Yofortierite,Canada
Yukonite,Canada
Bobfergusonite,Canada
Zoltaiite,Canada
Bobshannonite,Canada
?ern?ite,Canada
Bobtraillite,Canada
Brianroulstonite,Canada
Burgessite,Canada
Bussyite-(Ce),Canada
Bussyite-(Y),Canada
Calcioburbankite,Canada
Calciosamarskite,Canada
Caresite,Canada
Carletonite,Canada
Caysichite-(Y),Canada
Cerianite-(Ce),Canada
Alicewilsonite-(YCe),Canada
Chapmanite,Canada
Charleshatchettite,Canada
Charmarite,Canada
Kanemite,Chad
Clinoatacamite,Chile
Clinoungemachite,Chile
Copiapite,Chile
Coquimbite,Chile
Cuatrocapaite-(K),Chile
Cuatrocapaite-(NH4),Chile
Cuprocopiapite,Chile
Currierite,Chile
Cuyaite,Chile
Darapskite,Chile
Dietzeite,Chile
Domeykite,Chile
Alumolukrahnite,Chile
Erazoite,Chile
Amarantite,Chile
Espadaite,Chile
Amarillite,Chile
Ammineite,Chile
Ferricopiapite,Chile
Ferrinatrite,Chile
Ammoniotinsleyite,Chile
Fibroferrite,Chile
Adamite,Chile
Fuenzalidaite,Chile
Gajardoite,Chile
George-ericksenite,Chile
Glaucodot,Chile
Gordaite,Chile
Guanacoite,Chile
Antipinite,Chile
Haydeeite,Chile
Antofagastaite,Chile
Hectorfloresite,Chile
Hedegaardite,Chile
Herbertsmithite,Chile
Hohmannite,Chile
Huangite,Chile
Huenite,Chile
Humberstonite,Chile
Iquiqueite,Chile
Joanneumite,Chile
Joteite,Chile
Juangodoyite,Chile
Juansilvaite,Chile
Kentrolite,Chile
